Borough,District,"SY2020-2021 Total
Students with
Initial Referrals
7/1/2020 - 06/30/2021",Closed without IEP Meeting,"Student Determined Ineligible. IEP Meeting <= 60 Calendar
Days from Date of Consent",Student Determined Ineligible. IEP Meeting > 60 Calendar Days from Date of Consent,"Total
Ineligible",Student Classified. IEP Meeting <= 60 Calendar Days from Date of Consent,Student Classified. IEP Meeting > 60 Calendar Days from Date of Consent,"Total
Classified",Total IEP Meetings Held (Ineligible + Classified),Open and Awaiting Parental Consent as of 06/30/2021,Open and Parental Consent Received as of 06/30/2021
M,1,139,17,>5,<=5,12,60,33,93,105,<=5,>5
M,2,627,58,69,13,82,376,50,426,508,16,45
M,3,279,31,27,10,37,141,31,172,209,<=5,>5
M,4,157,20,13,7,20,69,21,90,110,<=5,>5
M,5,117,14,>5,<=5,12,50,26,76,88,<=5,>5
M,6,200,17,>5,<=5,18,84,35,119,137,9,37
BX,7,164,12,>5,<=5,19,96,24,120,139,0,13
BX,8,304,33,20,7,27,203,26,229,256,<=5,>5
BX,9,363,49,>5,<=5,30,210,39,249,279,6,29
BX,10,505,54,49,7,56,304,46,350,406,<=5,>5
BX,11,372,50,30,8,38,208,51,259,297,8,17
BX,12,169,20,19,0,19,93,23,116,135,0,14
BK,13,210,25,>5,<=5,22,111,22,133,155,6,24
BK,14,252,24,>5,<=5,25,144,27,171,196,9,23
BK,15,622,60,39,17,56,318,91,409,465,42,55
BK,16,86,9,>5,<=5,8,53,7,60,68,<=5,>5
BK,17,182,22,>5,<=5,12,105,18,123,135,<=5,>5
BK,18,102,12,7,<=5,>5,61,14,>5,84,<=5,<=5
BK,19,226,39,12,7,19,105,42,147,166,<=5,>5
BK,20,402,38,>5,<=5,23,299,22,321,344,7,13
BK,21,255,21,>5,<=5,16,>5,<=5,196,212,6,16
BK,22,261,29,13,0,13,152,41,193,206,<=5,>5
BK,23,119,18,<=5,<=5,<=5,>5,>5,>5,87,<=5,>5
Q,24,484,42,>5,<=5,29,244,110,354,383,9,50
Q,25,295,36,>5,<=5,21,173,35,208,229,<=5,>5
Q,26,290,36,22,6,28,162,49,211,239,<=5,>5
Q,27,487,50,25,6,31,323,42,365,396,8,33
Q,28,347,43,18,9,27,189,53,242,269,7,28
Q,29,255,39,13,6,19,122,50,172,191,7,18
Q,30,286,33,>5,<=5,25,155,45,200,225,<=5,>5
SI,31,798,89,32,9,41,467,104,571,612,29,68
BK,32,102,14,<=5,<=5,6,41,28,69,75,6,7
,Total,9457,1054,641,163,804,"5,372","1,230","6,602",7406,224,773